,content,title,authors,last_modified_by,created_date,modified_date,location,category,summary
1,"stand,support,business,government,hour,role,wage,time,step,namepartial,many,unpaid,previous,workinsert,social,distancing,requirement,useful,unforeseen,challenge,home,agreement,work,phone,detail,function,jobkeeper,working,wage support,support time,time step,step namepartial,namepartial stand,stand stand,stand many,many business,business unpaid,unpaid stand,stand business,business government,government support,support previous,previous hour,hour workinsert,workinsert hour,hour social,social distancing,distancing requirement,requirement useful,useful role,role unforeseen,unforeseen challenge,challenge home,home agreement,agreement role,role work,work phone,phone detail,detail function,function government,government jobkeeper,jobkeeper working",ciavic.com.au_getmedia_0743c48c-dede-4147-9157-f14d44b7fa47_2-partial-stand-down-letter-covid-19-revised-jobkeeper.docx.aspx.docx,Ian Jordan,Dan Feldman,2020-03-30 23:52:00,2020-03-30 23:53:00,D:\Classification\StructureMe\StructureMe-master\Data\confidential\ciavic.com.au_getmedia_0743c48c-dede-4147-9157-f14d44b7fa47_2-partial-stand-down-letter-covid-19-revised-jobkeeper.docx.aspx.docx,confidential,"{'text_contents': {'tags': ['other wage support', 'other times', 'other steps', 'name],partial stand', 'stand', 'many businesses', 'unpaid stand', 'business', 'government support', 'previous hours', 'work:[#insert hours', 'social distancing requirements', 'any other useful roles', 'unforeseen challenges', 'home agreement', 'any other roles', 'work', 'phone details', 'functions', 'government jobkeeper', 'working']}}"
2,"home,company,wfh,office,home office,arrangement,wfh arrangement,equipment,property,requirementsthe,appropriate,environment,arrangement wfh,requirementsthe company,office environment,arrangementyour,staff,network,propertyall,employee,notification,working,day,complies,location,ventilationthe,work,site,expense,wfh arrangementyour,arrangementyour wfh,wfh home,home wfh,arrangement home,home arrangement,arrangement company,company equipment,equipment staff,staff home,home network,network company,company propertyall,propertyall property,property company,company employee,employee company,company property,property requirementsthe,company notification,notification requirementsthe,company appropriate,appropriate equipment,equipment appropriate,appropriate home,environment working,working day,day home,environment home,office complies,complies home,office location,location ventilationthe,ventilationthe work,work site,site home,office expense",ciavic.com.au_getmedia_0fa35ff6-457d-4a91-bedf-545bbc3bb259_5-wfh-letter-agreement-covid-19.docx.aspx.docx,,,2020-03-29 21:34:00,2020-03-29 22:30:00,D:\Classification\StructureMe\StructureMe-master\Data\confidential\ciavic.com.au_getmedia_0fa35ff6-457d-4a91-bedf-545bbc3bb259_5-wfh-letter-agreement-covid-19.docx.aspx.docx,confidential,"{'text_contents': {'tags': ['wfh arrangementyour wfh arrangement', 'wfh arrangement', 'wfh', 'home', 'wfh arrangements', 'home arrangement', 'company equipment', 'staff home networks', 'company propertyall property', 'company employees', 'company property', 'requirementsthe company', 'notification requirementsthe company', 'appropriate equipment', 'an appropriate home office environment', 'working day', 'your home office environment', 'your home office complies', 'your home office location', 'no ventilationthe work site', 'a home office expense']}}"
3,"employee,document,employment,business,support,individual,letter,redundancy,document employment,individual business,affected,program,law,aspect,requirement,circumstance,contract,issue,many,paid,leave,pay,key,lower,unilateral,notice,period,employer,option,employee affected,affected employee,employee employee,employee support,support program,program document,employment law,law aspect,aspect individual,business requirement,requirement individual,business circumstance,circumstance employment,employment contract,contract letter,letter redundancy,redundancy letter,letter issue,issue many,many business,business support,support document,document paid,paid leave,leave redundancy,redundancy pay,pay key,key document,employment lower,lower unilateral,unilateral notice,notice period,period employer,employer option",ciavic.com.au_getmedia_a0ad087d-48ca-40f9-8717-e1544033bd97_0-cover-letter.docx.aspx.docx,CIAUSER,CIAUSER,2020-04-06 21:38:00,2020-04-06 23:10:00,D:\Classification\StructureMe\StructureMe-master\Data\confidential\ciavic.com.au_getmedia_a0ad087d-48ca-40f9-8717-e1544033bd97_0-cover-letter.docx.aspx.docx,confidential,"{'text_contents': {'tags': ['employees', 'affected employees', 'employee support programs', 'other documents', 'other employment law aspects', 'individual business requirements', 'individual business circumstances', 'employment contracts', 'other letters', 'redundancy letter', 'other issues', 'many businesses', 'other support', 'documents', 'paid leave', 'redundancy pay', 'key documents', 'employment', 'lower unilateral notice periods', 'employers', 'other options']}}"
4,"support,business,government,wage,many,step,social,distancing,requirement,previous,hour,unforeseen,challenge,phone,detail,jobkeeper,dateprivate,role,available,option,period,closure,month,past,week,work,normal,leave,entitlement,cooperation,confidentialinsert,wage support,support many,many business,business business,business step,step government,government support,support social,social distancing,distancing requirement,requirement previous,previous hour,hour unforeseen,unforeseen challenge,challenge phone,phone detail,detail government,government jobkeeper,jobkeeper support,support dateprivate,dateprivate role,role available,available option,option period,period closure,closure month,month past,past week,week work,work normal,normal leave,leave entitlement,entitlement cooperation,cooperation confidentialinsert",ciavic.com.au_getmedia_a20d2e1a-9c33-41c4-b757-7829a1ece12f_1-stand-down-letter-covid-19-revised-jobkeeper.docx.aspx.docx,Ian Jordan,Dan Feldman,2020-03-30 23:50:00,2020-03-30 23:51:00,D:\Classification\StructureMe\StructureMe-master\Data\confidential\ciavic.com.au_getmedia_a20d2e1a-9c33-41c4-b757-7829a1ece12f_1-stand-down-letter-covid-19-revised-jobkeeper.docx.aspx.docx,confidential,"{'text_contents': {'tags': ['other wage support', 'many businesses', 'business', 'other steps', 'government support', 'social distancing requirements', 'previous hours', 'unforeseen challenges', 'phone details', 'the government jobkeeper support', 'date]private', 'any other roles', 'the only available option', 'period', 'closures', 'months', 'the past few weeks', 'work', 'your normal leave entitlements', 'the co-operation', 'confidential[#insert']}}"
5,"redundancy,business,service,week,leave,notice,pay,many,government,support,nonessential,long,payunder,social,distancing,requirement,annual,outstanding,salary,centrelink,payment,unforeseen,challenge,paragraph,insert,small,employer,redundancy pay,pay many,many business,business business,business government,government support,support nonessential,nonessential service,service long,long service,service leave,leave week,week redundancy,redundancy payunder,payunder redundancy,redundancy social,social distancing,distancing requirement,requirement annual,annual leave,leave outstanding,outstanding salary,salary centrelink,centrelink payment,payment unforeseen,unforeseen challenge,challenge service,service paragraph,paragraph notice,notice insert,insert week,week small,small business,business employer,employer week,week notice",ciavic.com.au_getmedia_a851a766-8227-4464-ab27-2def7b6df23f_3-redundancy-letter-covid-19.docx.aspx.docx,Dan Feldman,Dan Feldman,2020-03-29 21:21:00,2020-03-29 21:21:00,D:\Classification\StructureMe\StructureMe-master\Data\confidential\ciavic.com.au_getmedia_a851a766-8227-4464-ab27-2def7b6df23f_3-redundancy-letter-covid-19.docx.aspx.docx,confidential,"{'text_contents': {'tags': ['redundancy pay', 'many businesses', 'businesses', 'other government support', 'non-essential services', 'long service leave', 'weeks', 'redundancy pay]under', 'redundancies', 'social distancing requirements', 'annual leave', 'outstanding salary', '#', 'centrelink payments', 'unforeseen challenges', 'service', 'paragraph', 'notice', '#insert weeks', 'a small business employer', 'weeks notice']}}"
6,"nsw,sydney,planning,government,nsw government,joint,regional,panel,south,western,morning,nsw planning,planning nsw,nsw joint,joint regional,regional planning,planning panel,western sydney,sydney sydney,sydney morning,assessment,commission,herald,construction,facility,business,park,airport,new,urban,development,area,metro,sitethe,department,wwwcwprenewablescomauthe,panel south,south sydney,sydney nsw,panel nsw,planning assessment,assessment commission,commission south,south western,morning herald,herald nsw,government sydney,morning sydney,sydney construction,construction facility,facility western,sydney business,business park,park sydney,sydney airport,airport nsw,nsw new,new urban,urban development,development area,area sydney,sydney metro,metro sitethe,sitethe nsw,government planning,nsw nsw,nsw department,department wwwcwprenewablescomauthe,wwwcwprenewablescomauthe nsw",lmip.gov.au_portalfile.axd_fieldid=2789914&.docx,rs0066,Richard Smith,2017-02-09 23:25:00,2017-02-09 23:26:00,D:\Classification\StructureMe\StructureMe-master\Data\confidential\lmip.gov.au_portalfile.axd_fieldid=2789914&.docx,confidential,"{'text_contents': {'tags': ['nsw planning', 'nsw joint regional planning panels', 'south sydney', 'nsw joint regional planning panel', 'nsw planning assessment commission', 'south western sydney', 'sydney morning herald', 'nsw government', 'sydney morning', 'sydney', 'construction facilities', 'western sydney', 'sydney business park', 'sydney airport', 'nsw', 'new urban development areas', 'sydney metro', 'site)the nsw government', 'planning nsw', 'nsw department', 'www.cwprenewables.com.au)the nsw government']}}"
7,"rate,labour,nsw,estimate,force,labour force,participation,unemployment,participation rate,ab,regional,data,force participation,unemployment rate,trend,employment,growth,highest,rate estimate,regional labour,nsw unemployment,employment growth,cent,region,figuresthe,latest,average,lower,market,january,surveynsw,result,male,rate cent,cent nsw,nsw region,region nsw,nsw labour,estimate figuresthe,figuresthe ab,ab trend,trend estimate,estimate latest,latest ab,ab regional,force data,data regional,regional estimate,estimate nsw,nsw average,average nsw,rate lower,lower employment,growth regional,labour market,market data,data january,january nsw,unemployment estimate,estimate unemployment,estimate trend,trend data,data employment,growth estimate,estimate highest,highest unemployment,rate ab,ab labour,force surveynsw,surveynsw result,result highest,highest male,male participation,rate labour,rate nsw,nsw rate",lmip.gov.au_portalfile.axd_fieldid=2789915&.docx,John Turnbull,"SMITH,Richard",2020-02-27 22:48:00,2020-02-27 23:04:00,D:\Classification\StructureMe\StructureMe-master\Data\confidential\lmip.gov.au_portalfile.axd_fieldid=2789915&.docx,confidential,"{'text_contents': {'tags': ['labour force participation rates', 'cent', 'nsw regions', 'the nsw labour force participation rate estimate', 'figuresthe abs trend estimates', 'latest abs regional labour force data', 'regional estimates', 'nsw', 'the average nsw unemployment rate', 'lower employment growth', 'regional labour market data', 'january 2019.the nsw unemployment estimate', 'the unemployment rate estimate', 'trend data', 'employment growth', 'estimates', 'the highest unemployment rates', 'abs labour force surveynsw results', 'the highest male participation rate', 'the labour force participation rate', 'the nsw rate']}}"
8,"disability,participation,force,force participation,labour,labour force,psychological,intellectual,restriction,people,rate,intellectual disability,participation rate,physical,statuspeople,peak,experience,employment,employed,unemployed,lower,disabilityhowever,centlabour,cent,profound,severe,sensory,speech,disability psychological,psychological disability,disability physical,physical disability,disability intellectual,disability disability,disability statuspeople,statuspeople disability,disability peak,peak disability,disability experience,experience employment,employment restriction,restriction employed,employed people,people unemployed,unemployed people,people labour,rate lower,lower labour,participation participation,rate disabilityhowever,disabilityhowever labour,participation centlabour,centlabour force,participation labour,participation cent,cent participation,participation restriction,restriction psychological,psychological intellectual,disability profound,profound severe,severe disability,disability sensory,sensory speech,speech disability,disability participation",lmip.gov.au_portalfile.axd_fieldid=2789918&.docx,Richard Smith,Richard Smith,2015-05-26 04:58:00,2015-05-26 05:02:00,D:\Classification\StructureMe\StructureMe-master\Data\confidential\lmip.gov.au_portalfile.axd_fieldid=2789918&.docx,confidential,"{'text_contents': {'tags': ['disability', 'psychological disability', 'physical disability', 'intellectual disability', 'disability statuspeople', 'disability peaks', 'disability experience employment restrictions', 'employed people', 'unemployed people', 'labour force participation rates', 'lower labour force participation', 'participation rate', 'disabilityhowever labour force participation', 'cent).labour force participation', 'labour force participation', 'cent', 'participation restrictions', 'psychological and intellectual disability', 'profound or severe disability', 'sensory or speech disability', 'participation']}}"
9,"indigenous,person,nonindigenous,employment,labour,force,indigenous person,labour force,unemployed,participation,rate,people,region,indigenous indigenous,force participation,participation rate,employment region,employed,nsw,share,populationthe,proportion,status,sydney,total,survey,data,lone,household,nonindigenous person,person indigenous,person unemployed,unemployed indigenous,person employed,employed indigenous,person nsw,nsw indigenous,indigenous employment,employment nonindigenous,nonindigenous labour,rate indigenous,indigenous people,people indigenous,indigenous share,share indigenous,indigenous populationthe,populationthe proportion,proportion indigenous,indigenous status,status indigenous,indigenous nonindigenous,nonindigenous people,people unemployed,unemployed person,person sydney,sydney employment,region person,person total,total person,person labour,force survey,survey data,data lone,lone person,person household,household employment,region labour",lmip.gov.au_portalfile.axd_fieldid=2789922&.docx,"SMITH,Richard (ESB)","MORRIS,John",2017-11-13 01:12:00,2018-01-16 00:24:00,D:\Classification\StructureMe\StructureMe-master\Data\confidential\lmip.gov.au_portalfile.axd_fieldid=2789922&.docx,confidential,"{'text_contents': {'tags': ['non-indigenous persons', 'indigenous persons', 'unemployed indigenous persons', 'employed indigenous persons', 'nsw indigenous', 'indigenous employment', 'non-indigenous labour force participation rates', 'indigenous', 'indigenous people', 'indigenous share', 'indigenous populationthe proportion', 'indigenous status', 'indigenous and non-indigenous people', 'unemployed persons', 'sydney employment regions', 'persons', 'total persons', 'labour force survey data', 'lone person households', 'employment regions', 'labour force participation rate']}}"
10,"rate,unemployment,sa,employment,unemployment rate,november,last,trend,male,female,female unemployment,year,ratesthe,total,last year,unemployment ratesthe,ratesthe sa,sa male,sappppaustppppparticipation,sappppaustppppunemployment,cent,month,trendssa,series,hour,data,labour,force,participation,november last,year trend,trend employment,employment sa,sa employment,employment sappppaustppppparticipation,sappppaustppppparticipation rate,rate sappppaustppppunemployment,sappppaustppppunemployment rate,rate unemployment,rate cent,cent last,last month,month unemployment,unemployment november,november employment,employment trendssa,trendssa employment,employment last,year male,male female,male unemployment,rate november,november unemployment,rate sa,sa female,rate total,total employment,employment trend,trend series,series total,total sa,sa hour,hour trend,trend data,data female,sa sa,male labour,labour force,force participation,participation rate",lmip.gov.au_portalfile.axd_fieldid=2789953&.docx,,,2016-12-15 03:47:00,2016-12-15 03:49:00,D:\Classification\StructureMe\StructureMe-master\Data\confidential\lmip.gov.au_portalfile.axd_fieldid=2789953&.docx,confidential,"{'text_contents': {'tags': ['november last year', 'trend employment', 'sa employment', 'sa7.36.76.70.0pp-0.6ppaust5.95.65.60.0pp-0.3ppparticipation rate', 'sa62.162.062.10.1pp0.0ppaust65.164.564.50.0pp-0.6ppunemployment rates', '2015.unemployment rate', 'cent', 'last month', 'unemployment', 'november', 'employment trendssa employment', 'last year', 'male and female unemployment ratesthe sa male unemployment rate', 'the november unemployment rate', 'the sa female unemployment rate', 'total employment', 'trend series', 'total sa hours', 'trend data', 'female unemployment ratesthe sa', 'the sa male labour force participation rate']}}"
